"Participant" "Onset" "Determiner" "Agecat" "Age" "OldNew" "variable" "TARGETFIXBIN.m" "yT" "N_T" "elogT"
"68" "P013yo" "Same" "AN" "Three" 47 "N" "800" 0.8 4 5 1.09861228866811
"69" "P013yo" "Same" "AN" "Three" 47 "N" "900" 0.8 4 5 1.09861228866811
"70" "P013yo" "Same" "AN" "Three" 47 "N" "1000" 0.6 3 5 0.336472236621213
"71" "P013yo" "Same" "AN" "Three" 47 "Y" "100" 0.6 3 5 0.336472236621213
"72" "P013yo" "Same" "AN" "Three" 47 "Y" "200" 0.8 4 5 1.09861228866811
"73" "P013yo" "Same" "AN" "Three" 47 "Y" "300" 1 5 5 2.39789527279837
"74" "P013yo" "Same" "AN" "Three" 47 "Y" "400" 1 5 5 2.39789527279837
"75" "P013yo" "Same" "AN" "Three" 47 "Y" "500" 1 5 5 2.39789527279837
"76" "P013yo" "Same" "AN" "Three" 47 "Y" "600" 1 5 5 2.39789527279837
"77" "P013yo" "Same" "AN" "Three" 47 "Y" "700" 1 5 5 2.39789527279837
"78" "P013yo" "Same" "AN" "Three" 47 "Y" "800" 1 5 5 2.39789527279837
"79" "P013yo" "Same" "AN" "Three" 47 "Y" "900" 1 5 5 2.39789527279837
"80" "P013yo" "Same" "AN" "Three" 47 "Y" "1000" 1 5 5 2.39789527279837
"81" "P0145yo" "Different" "A" "Four-Five" 61 "N" "100" 0.2 1 5 -1.09861228866811
"82" "P0145yo" "Different" "A" "Four-Five" 61 "N" "200" 0.4 2 5 -0.336472236621213
"83" "P0145yo" "Different" "A" "Four-Five" 61 "N" "300" 0.6 3 5 0.336472236621213
"84" "P0145yo" "Different" "A" "Four-Five" 61 "N" "400" 0.6 3 5 0.336472236621213
"85" "P0145yo" "Different" "A" "Four-Five" 61 "N" "500" 0.6 3 5 0.336472236621213
"86" "P0145yo" "Different" "A" "Four-Five" 61 "N" "600" 0.4 2 5 -0.336472236621213
"87" "P0145yo" "Different" "A" "Four-Five" 61 "N" "700" 0.6 3 5 0.336472236621213
"88" "P0145yo" "Different" "A" "Four-Five" 61 "N" "800" 0.8 4 5 1.09861228866811
"89" "P0145yo" "Different" "A" "Four-Five" 61 "N" "900" 1 5 5 2.39789527279837
"90" "P0145yo" "Different" "A" "Four-Five" 61 "N" "1000" 1 5 5 2.39789527279837
"91" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "100" 0.6 3 5 0.336472236621213
"92" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "200" 0.8 4 5 1.09861228866811
"93" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "300" 0.8 4 5 1.09861228866811
"94" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "400" 1 5 5 2.39789527279837
"95" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "500" 1 5 5 2.39789527279837
"96" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "600" 1 5 5 2.39789527279837
"97" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "700" 1 5 5 2.39789527279837
"98" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "800" 1 5 5 2.39789527279837
"99" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "900" 0.8 4 5 1.09861228866811
"100" "P0145yo" "Different" "A" "Four-Five" 61 "Y" "1000" 0.8 4 5 1.09861228866811
"101" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "100" 1 5 5 2.39789527279837
"102" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "200" 1 5 5 2.39789527279837
"103" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "300" 1 5 5 2.39789527279837
"104" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "400" 1 5 5 2.39789527279837
"105" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "500" 1 5 5 2.39789527279837
"106" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "600" 1 5 5 2.39789527279837
"107" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "700" 1 5 5 2.39789527279837
"108" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "800" 1 5 5 2.39789527279837
"109" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "900" 0.8 4 5 1.09861228866811
"110" "P0145yo" "Different" "AN" "Four-Five" 61 "N" "1000" 0.8 4 5 1.09861228866811
"111" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "100" 0.4 2 5 -0.336472236621213
"112" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "200" 0.6 3 5 0.336472236621213
"113" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "300" 0.6 3 5 0.336472236621213
"114" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "400" 0.6 3 5 0.336472236621213
"115" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "500" 0.6 3 5 0.336472236621213
"116" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "600" 0.6 3 5 0.336472236621213
"117" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "700" 1 5 5 2.39789527279837
"118" "P0145yo" "Different" "AN" "Four-Five" 61 "Y" "800" 1 5 5 2.39789527279837
