"Participant" "TrialN" "ItemN" "Onset" "Determiner" "OldNew" "Agecat" "DO" "FixLoc" "FixationStart" "NOFIX" "DURPOSTDO3" "DISCARDONSET.D" "Perc_Dur" "DiscardTrial" "FixStart.rel" "DC" "DCC" "OC" "OCC" "AC" "ACC" "FixStart.rel.inv"
"P013yo" 40 7 "Same" "A" "Y" "Three" 4020 "TARGET" 5763.5 0 2076.6 0 89.5086206896552 0 1743.5 -0.5 -0.50262123197903 -0.5 -0.549148099606815 -0.5 -0.514416775884666 0.000573558933180384
"P0145yo" 3 3 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 4938.2 0 2129.9 0 91.412017167382 0 928.2 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00107735401853049
"P0145yo" 4 4 "Same" "A" "N" "Four-Five" 4020 "TARGET" 5127.9 0 2019.9 0 87.0646551724138 0 1107.9 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000902608538676776
"P0145yo" 5 5 "Different" "AN" "N" "Four-Five" 4010 "TARGET" 4999.1 0 2107.5 0 90.450643776824 0 989.1 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.00101102011930037
"P0145yo" 8 8 "Same" "AN" "Y" "Four-Five" 4010 "TARGET" 4972.4 0 2163.4 0 92.8497854077253 0 962.4 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00103906899418121
"P0145yo" 9 9 "Same" "AN" "N" "Four-Five" 4020 "TARGET" 4161.1 0 2045.6 0 88.1724137931034 0 141.1 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00708717221828489
"P0145yo" 10 10 "Same" "A" "N" "Four-Five" 4020 "TARGET" 4881.4 0 2125.2 0 91.6034482758621 0 861.4 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.00116090085906664
"P0145yo" 12 12 "Same" "AN" "N" "Four-Five" 4010 "TARGET" 6106.5 0 2163.4 0 92.8497854077253 0 2096.5 -0.5 -0.50262123197903 0.5 0.450851900393185 0.5 0.485583224115334 0.000476985451943716
"P0145yo" 14 14 "Same" "A" "Y" "Four-Five" 4020 "TARGET" 4410.7 0 1953.4 0 84.198275862069 0 390.7 -0.5 -0.50262123197903 -0.5 -0.549148099606815 0.5 0.485583224115334 0.00255950857435373
"P0145yo" 15 15 "Different" "AN" "Y" "Four-Five" 4020 "TARGET" 5349.5 0 2153.4 0 92.8189655172414 0 1329.5 0.5 0.49737876802097 -0.5 -0.549148099606815 0.5 0.485583224115334 0.000752162467092892
"P0145yo" 16 16 "Different" "A" "N" "Four-Five" 4020 "TARGET" 5369.8 0 2119.8 0 91.3706896551724 0 1349.8 0.5 0.49737876802097 0.5 0.450851900393185 0.5 0.485583224115334 0.000740850496369832
